MinWIO,min_ws,NumItemsets,Time(s),Memory(MB)
0.01,0.01,18,296.00264978408813,0.0
0.01,0.03,7,244.23183250427246,581.66015625
0.01,0.05,5,209.14308738708496,0.0
0.01,0.07,4,171.01782727241516,69.94140625
0.01,0.1,3,193.69542622566223,0.0
0.03,0.01,7,195.5066375732422,599.15625
0.03,0.03,7,204.2565598487854,0.0
0.03,0.05,5,196.45457792282104,289.80078125
0.03,0.07,4,229.95322823524475,0.0
0.03,0.1,3,235.3900864124298,0.0
0.05,0.01,5,245.15703225135803,515.5234375
0.05,0.03,5,298.0343294143677,0.0
0.05,0.05,5,255.42804074287415,773.91796875
0.05,0.07,4,246.95073103904724,0.0
0.05,0.1,3,254.8342423439026,412.16015625
0.07,0.01,4,218.89297342300415,739.30078125
0.07,0.03,4,239.8321144580841,0.0
0.07,0.05,4,216.30780720710754,41.88671875
0.07,0.07,4,245.53413224220276,0.0
0.07,0.1,3,241.43801712989807,687.890625
0.1,0.01,3,236.71635389328003,211.3203125
0.1,0.03,3,225.7110984325409,0.0
0.1,0.05,3,223.92069268226624,1529.38671875
0.1,0.07,3,216.38986802101135,0.0
0.1,0.1,3,210.6460063457489,96.328125
