MinWIO,min_ws,NumItemsets,Time(s),Memory(MB)
0.01,0.01,1840,68.86363625526428,217.23828125
0.01,0.03,1025,36.589476108551025,0.0
0.01,0.05,716,20.326380014419556,0.0
0.01,0.07,541,13.989429473876953,0.0
0.01,0.1,362,8.979142665863037,0.0
0.03,0.01,1025,43.86069369316101,55.41015625
0.03,0.03,1025,30.103097200393677,0.0
0.03,0.05,716,19.192797899246216,0.0
0.03,0.07,541,13.055879592895508,0.0
0.03,0.1,362,8.201773166656494,0.0
0.05,0.01,716,35.278247117996216,65.84765625
0.05,0.03,716,34.801703691482544,0.0
0.05,0.05,716,35.10315227508545,0.0
0.05,0.07,541,24.107243537902832,0.0
0.05,0.1,362,19.54007053375244,0.0
0.07,0.01,541,27.07735848426819,64.21875
0.07,0.03,541,23.57566213607788,0.0
0.07,0.05,541,15.530148267745972,0.0
0.07,0.07,541,15.530051946640015,0.0
0.07,0.1,362,9.045527696609497,0.0
0.1,0.01,362,8.673126459121704,63.12890625
0.1,0.03,362,8.742587804794312,0.0
0.1,0.05,362,9.009651184082031,0.0
0.1,0.07,362,8.115646600723267,0.0
0.1,0.1,362,7.825997352600098,0.0
